unique.bill_votes.rep.,
BENNINGHOFF,Kerry Benninghoff
BERNSTINE,Aaron Bernstine
BLOOM,Stephen Bloom
"BROWN, R.",Rosemary Brown
CAUSER,Martin Causer
CHRISTIANA,Jim Christiana
COOK,Bud Cook
CORR,Michael Corr
COX,Jim Cox
CULVER,Lynda Schlegel-Culver
CUTLER,Bryan Cutler
DAY,Gary Day
DELOZIER,Sheryl Delozier
DIAMOND,Russell Diamond
DOWLING,Matthew Dowling
DUNBAR,George Dunbar
DUSH,Cris Dush
ELLIS,Brian Ellis
EMRICK,Joe Emrick
EVANKOVICH,Eli Evankovich
EVERETT,Garth Everett
FEE,Mindy Fee
FRITZ,Jonathan Fritz
GILLESPIE,Keith Gillespie
GODSHALL,Robert Godshall
GREINER,Keith Greiner
GROVE,Seth Grove
HAHN,Marcia Hahn
"HARRIS, A.",C. Adam Harris
HEFFLEY,Doyle Heffley
HELM,Susan Helm
HICKERNELL,David Hickernell
HILL,Kristin Phillips-Hill
IRVIN,Richard Irvin
JAMES,R. Lee James
JOZWIAK,Barry Jozwiak
KAUFER,Aaron Kaufer
KAUFFMAN,Rob Kauffman
KEEFER,Dawn Keefer
"KELLER, F.",Fred Keller
"KELLER, M.K.",Mark K. Keller
KLUNK,Kate Anne Klunk
KNOWLES,Jerry Knowles
LAWRENCE,John Lawrence
LEWIS,Harry Lewis Jr.
MACKENZIE,Ryan Mackenzie
MAHER,John Maher
MALONEY,David Maloney
MARSHALL,Jim Marshall
MARSICO,Ronald Marsico
MASSER,Kurt Masser
MCGINNIS,John McGinnis
MENTZER,Steven Mentzer
METZGAR,Carl Metzgar
MILLARD,David Millard
"MILLER, B.",Brett Miller
MOUL,Dan Moul
MUSTIO,T. Mark Mustio
NELSON,Eric Nelson
NESBIT,Tedd Nesbit
O'NEAL,
O'NEILL,Bernard O'Neill
OBERLANDER,Donna Oberlander
ORTITAY,Jason Ortitay
OWLETT,
PEIFER,Michael Peifer
PICKETT,Tina Pickett
PYLE,Jeffrey Pyle
QUIGLEY,Thomas Quigley
RADER,Jack Rader Jr.
RAPP,Kathy Rapp
REED,Dave Reed
REESE,Mike Reese
ROAE,Bradley Roae
ROTHMAN,Greg Rothman
RYAN,Francis Ryan
SACCONE,Rick Saccone
SANKEY,Thomas Sankey
SAYLOR,Stanley Saylor
SCHEMEL,Paul Schemel
SIMMONS,Justin Simmons
SONNEY,Curtis Sonney
STAATS,Craig Staats
STEPHENS,Todd Stephens
TALLMAN,Will Tallman
TAYLOR,John Taylor
TOBASH,Mike Tobash
TOEPEL,Marcy Toepel
TOOHIL,Tarah Toohil
TOPPER,Jesse Topper
WALSH,Justin Walsh
WARD,Judith Ward
WARNER,Ryan Warner
WATSON,Katharine Watson
WENTLING,Parke Wentling
WHEELAND,Jeff Wheeland
WHITE,Martina White
ZIMMERMAN,David H. Zimmerman
BARBIN,Bryan Barbin
BIZZARRO,Ryan Bizzarro
BURNS,Frank Burns
"COSTA, D.",Dominic Costa
"COSTA, P.",Paul Costa
DELUCA,Anthony DeLuca
FLYNN,Martin Flynn
HARKINS,Patrick Harkins
LONGIETTI,Mark Longietti
PETRARCA,Joseph Petrarca
SAINATO,Chris Sainato
SNYDER,Pam Snyder
TURZAI,Mike Turzai
BARRAR,Stephen Barrar
BOBACK,Karen Boback
CHARLTON,Alexander Charlton
CORBIN,Becky Corbin
DIGIROLAMO,Gene DiGirolamo
ENGLISH,Hal English
FARRY,Frank Farry
GILLEN,Mark Gillen
HARPER,Catherine Harper
HENNESSEY,Timothy Hennessey
KAMPF,Warren Kampf
MEHAFFIE,Thomas Mehaffie
MICCARELLI,Nick Miccarelli
MILNE,Duane Milne
MURT,Thomas Murt
"QUINN, C.",Christopher Quinn
"QUINN, M.",Marguerite Quinn
ROE,Eric Roe
BOYLE,Kevin Boyle
BRIGGS,Tim Briggs
"BROWN, V.",Vanessa Lowery Brown
BULLOCK,Donna Bullock
CALTAGIRONE,Thomas Caltagirone
CARROLL,Mike Carroll
CEPHAS,Morgan Cephas
COMITTA,Carolyn Comitta
CONKLIN,H. Scott Conklin
CRUZ,Angel Cruz
DALEY,Mary Jo Daley
DAVIDSON,Margo Davidson
"DAVIS, A.",
"DAVIS, T.",Tina Davis
DAWKINS,Jason Dawkins
DEASY,Daniel Deasy Jr.
DELISSIO,Pamela Delissio
DERMODY,Frank Dermody
DONATUCCI,Maria Donatucci
DRISCOLL,Michael Driscoll
EVANS,Carol Hill-Evans
FITZGERALD,Isabella Fitzgerald
FRANKEL,Dan Frankel
FREEMAN,Robert Freeman
GAINEY,Edward Gainey
GALLOWAY,John Galloway
GOODMAN,Neal Goodman
HAGGERTY,Kevin Haggerty
HANNA,Michael Hanna Sr.
"HARRIS, J.",Jordan Harris
KAVULICH,Sid Michaels Kavulich
"KELLER, W.",William Keller
KIM,Patty Kim
KINSEY,Stephen Kinsey
KIRKLAND,Brian Kirkland
KORTZ,William Kortz II
KRUEGER,Leanne Krueger-Braneky
KULIK,Anita Astorino Kulik
MADDEN,Maureen Madden
MARKOSEK,Joseph Markosek
MATZIE,Robert Matzie
MCCARTER,Steve McCarter
MCCLINTON,Joanna McClinton
MCNEILL,Daniel McNeill
"MILLER, D.",Dan Miller
MULLERY,Gerald Mullery
NEILSON,Edward Neilson
PASHINSKI,Eddie Day Pashinski
RABB,Christopher Rabb
RAVENSTAHL,Adam Ravenstahl
READSHAW,Harry Readshaw III
ROEBUCK,James Roebuck Jr.
ROZZI,Mark Rozzi
SAMUELSON,Steve Samuelson
SCHLOSSBERG,Michael Schlossberg
SCHWEYER,Peter Schweyer
SIMS,Brian Sims
SOLOMON,Jared Solomon
STURLA,P. Michael Sturla
TAI,
THOMAS,W. Curtis Thomas
VAZQUEZ,
VITALI,Gregory Vitali
WARREN,Perry Warren
WHEATLEY,Jake Wheatley Jr.
YOUNGBLOOD,Rosita Youngblood
BAKER,Matthew Baker
GABLER,Matt Gabler
METCALFE,Daryl Metcalfe
PETRI,Scott Petri
SANTORA,Jamie Santora
BRADFORD,Matthew Bradford
DAVIS,Tina Davis
DEAN,Madeleine Dean
NEUMAN,Brandon Neuman
O'BRIEN,Michael O'Brien
MAKO,Zachary Mako
FABRIZIO,Florindo Fabrizio
GERGELY,Marc Gergely
